Transform,Detail,Approximate,Metric,Value
1,1,,1,0.29095
1,1,,2,0.61826
1,1,,3,0.48731
1,1,,4,0.0046301
1,1,,5,0.8073
1,1,,6,0.0022088
1,1,,7,0.33703
1,1,,8,0.0049252
1,2,,1,0.27385
1,2,,2,0.62457
1,2,,3,0.39007
1,2,,4,0.0040994
1,2,,5,0.80651
1,2,,6,0.0038586
1,2,,7,0.28518
1,2,,8,0.0050066
1,3,,1,0.27542
1,3,,2,0.51168
1,3,,3,0.45712
1,3,,4,0.0032544
1,3,,5,0.8071
1,3,,6,0.0020077
1,3,,7,0.073773
1,3,,8,0.0048443
1,4,,1,0.59098
1,4,,2,0.53779
1,4,,3,0.68755
1,4,,4,0.0053788
1,4,,5,0.83178
1,4,,6,0.0036785
1,4,,7,0.70387
1,4,,8,0.0049456
1,5,,1,0.24851
1,5,,2,0.62516
1,5,,3,0.42225
1,5,,4,0.0036167
1,5,,5,0.80571
1,5,,6,0.0035442
1,5,,7,0.14485
1,5,,8,0.0049239
1,6,,1,0.29565
1,6,,2,0.46425
1,6,,3,0.56562
1,6,,4,0.0043381
1,6,,5,0.80846
1,6,,6,0.0026253
1,6,,7,0.34544
1,6,,8,0.0049326
1,7,,1,0.25109
1,7,,2,0.62413
1,7,,3,0.42119
1,7,,4,0.0040056
1,7,,5,0.80577
1,7,,6,0.0029228
1,7,,7,0.21547
1,7,,8,0.0049245
1,1,,1,0.21705
1,1,,2,0.58769
1,1,,3,0.657
1,1,,4,0.0048086
1,1,,5,0.80529
1,1,,6,0.0022884
1,1,,7,0.38598
1,1,,8,0.0034806
1,2,,1,0.20389
1,2,,2,0.59435
1,2,,3,0.54322
1,2,,4,0.004299
1,2,,5,0.8047
1,2,,6,0.0036064
1,2,,7,0.28255
1,2,,8,0.0035711
1,3,,1,0.22
1,3,,2,0.4889
1,3,,3,0.57997
1,3,,4,0.0041781
1,3,,5,0.80546
1,3,,6,0.0022864
1,3,,7,0.1718
1,3,,8,0.0033901
1,4,,1,0.55789
1,4,,2,0.54564
1,4,,3,0.77581
1,4,,4,0.0053551
1,4,,5,0.8356
1,4,,6,0.0025911
1,4,,7,0.85244
1,4,,8,0.0034918
1,5,,1,0.17941
1,5,,2,0.59083
1,5,,3,0.55338
1,5,,4,0.0041169
1,5,,5,0.80408
1,5,,6,0.0033556
1,5,,7,0.21239
1,5,,8,0.0034815
1,6,,1,0.23728
1,6,,2,0.42255
1,6,,3,0.69
1,6,,4,0.0046227
1,6,,5,0.80689
1,6,,6,0.0026035
1,6,,7,0.40278
1,6,,8,0.0034847
1,7,,1,0.19495
1,7,,2,0.5969
1,7,,3,0.61915
1,7,,4,0.0045601
1,7,,5,0.80439
1,7,,6,0.002583
1,7,,7,0.31437
1,7,,8,0.00348
1,1,,1,0.33192
1,1,,2,0.58384
1,1,,3,0.37472
1,1,,4,0.0041579
1,1,,5,0.80938
1,1,,6,0.0023808
1,1,,7,0.25063
1,1,,8,0.007241
1,2,,1,0.34244
1,2,,2,0.48197
1,2,,3,0.51075
1,2,,4,0.0040319
1,2,,5,0.80984
1,2,,6,0.0040981
1,2,,7,0.20358
1,2,,8,0.0073437
1,3,,1,0.38203
1,3,,2,0.60316
1,3,,3,0.27073
1,3,,4,0.0038451
1,3,,5,0.81146
1,3,,6,0.0020421
1,3,,7,0.15277
1,3,,8,0.0071383
1,4,,1,0.61739
1,4,,2,0.5581
1,4,,3,0.72008
1,4,,4,0.0046494
1,4,,5,0.83006
1,4,,6,0.0014091
