"","names","estimates","pvalues"
"1","Max - Mean","-8.642571428571e-05","0"
"2","Min - Mean","-0.000103779999999997","0"
"3","Lin - Mean","-0.000145005714285708","0"
"4","Ran - Mean","-0.000301442857142847","0"
"5","UD - Mean","-8.61971428571463e-05","0"
"6","DU - Mean","-3.23971428571438e-05","0"
"7","Min - Max","-1.73542857142872e-05","1.52739524361678e-08"
"8","Lin - Max","-5.85799999999982e-05","0"
"9","Ran - Max","-0.000215017142857137","0"
"10","UD - Max","2.28571428563767e-07","0.99999997657554"
"11","DU - Max","5.40285714285662e-05","0"
"12","Lin - Min","-4.1225714285711e-05","0"
"13","Ran - Min","-0.00019766285714285","0"
"14","UD - Min","1.7582857142851e-05","8.0693518533792e-09"
"15","DU - Min","7.13828571428534e-05","0"
"16","Ran - Lin","-0.000156437142857138","0"
"17","UD - Lin","5.8808571428562e-05","0"
"18","DU - Lin","0.000112608571428564","0"
"19","UD - Ran","0.0002152457142857","0"
"20","DU - Ran","0.000269045714285703","0"
"21","DU - UD","5.38000000000024e-05","0"
