"","names","estimates","pvalues"
"1","Max - Mean","-0.0015074285714277","0"
"2","Min - Mean","-0.00165285714285628","0"
"3","Lin - Mean","-0.0019839999999991","0"
"4","Ran - Mean","-0.00275714285714202","0"
"5","UD - Mean","-0.00136485714285633","0"
"6","DU - Mean","-0.000799714285713442","0"
"7","Min - Max","-0.000145428571428583","1.66824154046452e-07"
"8","Lin - Max","-0.000476571428571398","0"
"9","Ran - Max","-0.00124971428571432","0"
"10","UD - Max","0.000142571428571365","4.72608481461023e-06"
"11","DU - Max","0.000707714285714257","0"
"12","Lin - Min","-0.000331142857142814","0"
"13","Ran - Min","-0.00110428571428574","0"
"14","UD - Min","0.000287999999999949","0"
"15","DU - Min","0.000853142857142841","0"
"16","Ran - Lin","-0.000773142857142922","0"
"17","UD - Lin","0.000619142857142763","0"
"18","DU - Lin","0.00118428571428565","0"
"19","UD - Ran","0.00139228571428568","0"
"20","DU - Ran","0.00195742857142858","0"
"21","DU - UD","0.000565142857142892","0"
