"","names","estimates","pvalues"
"1","Max - Mean","-0.0523868571428568","0"
"2","Min - Mean","-0.0579685714285719","0"
"3","Lin - Mean","-0.0730251428571413","0"
"4","Ran - Mean","-0.0953934285714298","0"
"5","UD - Mean","-0.0487640000000026","0"
"6","DU - Mean","-0.0276208571428576","0"
"7","Min - Max","-0.0055817142857151","3.97798348705791e-08"
"8","Lin - Max","-0.0206382857142845","0"
"9","Ran - Max","-0.043006571428573","0"
"10","UD - Max","0.00362285714285424","0.00250687827331353"
"11","DU - Max","0.0247659999999992","0"
"12","Lin - Min","-0.0150565714285694","0"
"13","Ran - Min","-0.0374248571428579","0"
"14","UD - Min","0.00920457142856933","0"
"15","DU - Min","0.0303477142857143","0"
"16","Ran - Lin","-0.0223682857142885","0"
"17","UD - Lin","0.0242611428571388","0"
"18","DU - Lin","0.0454042857142837","0"
"19","UD - Ran","0.0466294285714273","0"
"20","DU - Ran","0.0677725714285722","0"
"21","DU - UD","0.0211431428571449","0"
