"","names","estimates","pvalues"
"1","Max - Mean","-0.0213391428571424","0"
"2","Min - Mean","-0.0268294285714286","0"
"3","Lin - Mean","-0.0276602857142848","0"
"4","Ran - Mean","-0.039183142857143","0"
"5","UD - Mean","-0.02045","0"
"6","DU - Mean","-0.00784742857142858","0"
"7","Min - Max","-0.00549028571428622","9.98512383887373e-12"
"8","Lin - Max","-0.00632114285714237","2.99760216648792e-15"
"9","Ran - Max","-0.0178440000000006","0"
"10","UD - Max","0.000889142857142408","0.913527048907626"
"11","DU - Max","0.0134917142857138","0"
"12","Lin - Min","-0.000830857142856151","0.936505648991984"
"13","Ran - Min","-0.0123537142857143","0"
"14","UD - Min","0.00637942857142863","1.33226762955019e-15"
"15","DU - Min","0.018982","0"
"16","Ran - Lin","-0.0115228571428582","0"
"17","UD - Lin","0.00721028571428478","0"
"18","DU - Lin","0.0198128571428562","0"
"19","UD - Ran","0.018733142857143","0"
"20","DU - Ran","0.0313357142857144","0"
"21","DU - UD","0.0126025714285714","0"
