"","names","estimates","pvalues"
"1","Max - Mean","-0.02808657142857","0"
"2","Min - Mean","-0.015993999999999","0"
"3","Lin - Mean","-0.0404997142857125","0"
"4","Ran - Mean","-0.0670982857142852","0"
"5","UD - Mean","-0.0255639999999998","0"
"6","DU - Mean","-0.00207599999999918","0.049037492408406"
"7","Min - Max","0.0120925714285711","0"
"8","Lin - Max","-0.0124131428571424","0"
"9","Ran - Max","-0.0390117142857151","0"
"10","UD - Max","0.00252257142857026","0.00627862659053946"
"11","DU - Max","0.0260105714285709","0"
"12","Lin - Min","-0.0245057142857135","0"
"13","Ran - Min","-0.0511042857142862","0"
"14","UD - Min","-0.0095700000000008","0"
"15","DU - Min","0.0139179999999998","0"
"16","Ran - Lin","-0.0265985714285727","0"
"17","UD - Lin","0.0149357142857127","0"
"18","DU - Lin","0.0384237142857133","0"
"19","UD - Ran","0.0415342857142854","0"
"20","DU - Ran","0.065022285714286","0"
"21","DU - UD","0.0234880000000006","0"
