"","names","estimates","pvalues"
"1","Max - Mean","1.14285714306459e-05","0"
"2","Min - Mean","9.42857143064554e-06","0"
"3","Lin - Mean","2.54285714306359e-05","0"
"4","Ran - Mean","3.37142857163631e-05","0"
"5","UD - Mean","1.22857142877856e-05","0"
"6","DU - Mean","6.00000000208068e-06","0"
"7","Min - Max","-2.00000000000036e-06","0.0407049368691699"
"8","Lin - Max","1.399999999999e-05","0"
"9","Ran - Max","2.22857142857172e-05","0"
"10","UD - Max","8.5714285713973e-07","0.854315633095028"
"11","DU - Max","-5.42857142856521e-06","4.66293670342566e-15"
"12","Lin - Min","1.59999999999904e-05","0"
"13","Ran - Min","2.42857142857176e-05","0"
"14","UD - Min","2.85714285714009e-06","0.000307681732815146"
"15","DU - Min","-3.42857142856485e-06","2.87505657847742e-06"
"16","Ran - Lin","8.28571428572719e-06","0"
"17","UD - Lin","-1.31428571428503e-05","0"
"18","DU - Lin","-1.94285714285552e-05","0"
"19","UD - Ran","-2.14285714285775e-05","0"
"20","DU - Ran","-2.77142857142824e-05","0"
"21","DU - UD","-6.28571428570494e-06","0"
