"","names","estimates","pvalues"
"1","Max - Mean","-0.00346114285714311","2.33157937401529e-12"
"2","Min - Mean","0.00577542857142832","0"
"3","Lin - Mean","0.000597428571428271","0.870399279181062"
"4","Ran - Mean","-0.00402228571428602","3.33066907387547e-16"
"5","UD - Mean","0.00403457142857122","4.44089209850063e-16"
"6","DU - Mean","-0.00322885714285746","1.2420309225547e-10"
"7","Min - Max","0.00923657142857143","0"
"8","Lin - Max","0.00405857142857138","0"
"9","Ran - Max","-0.000561142857142918","0.900817410748957"
"10","UD - Max","0.00749571428571433","0"
"11","DU - Max","0.000232285714285646","0.998990286077746"
"12","Lin - Min","-0.00517800000000005","0"
"13","Ran - Min","-0.00979771428571435","0"
"14","UD - Min","-0.0017408571428571","0.00473278938002186"
"15","DU - Min","-0.00900428571428578","0"
"16","Ran - Lin","-0.0046197142857143","0"
"17","UD - Lin","0.00343714285714295","3.94984045470892e-12"
"18","DU - Lin","-0.00382628571428573","1.52100554373646e-14"
"19","UD - Ran","0.00805685714285724","0"
"20","DU - Ran","0.000793428571428564","0.634595491141454"
"21","DU - UD","-0.00726342857142868","0"
